answer,qid
A Fox a Stork a large flat dish of soup,fables-04-1
a Stork a large flat dish of soup,fables-04-2
"A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .",fables-04-3
"A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .",fables-04-4
The fox,fables-04-5
to be to be helpless because he to reach some food,fables-04-6
The stork the long bill of the stork into the pitcher,fables-04-7
to reach the tempting contents of the vessel,fables-04-8
The Fox,fables-04-9
The stork,fables-04-10
The stork,fables-04-11
A clever fox,fables-04-12
The fox,fables-04-13
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .,fables-03-1
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .,fables-03-2
a Serpent the intention of,fables-03-3
"A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .",fables-03-4
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .,fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn .,fables-03-6
The countryman the drinking vessel,fables-03-7
The eagle the drinking vessel,fables-03-8
The eagle the drinking vessel,fables-03-9
"Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .",fables-03-10
"Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .",fables-03-11
the Serpent the man,fables-03-12
An Eagle,fables-03-13
The eagle,fables-03-14
"A countryman , who was a witness of the encounter ,",fables-03-15
"A countryman , who was a witness of the encounter ,",fables-03-16
A countryman who owned a drinking vessel,fables-03-17
"A countryman , who was a witness of the encounter ,",fables-03-18
A countryman who owned a drinking vessel,fables-03-19
The serpent,fables-03-20
his exertions,fables-03-21
The young man the spot of the yard of the narrator,blogs-02-1
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-2
the place,blogs-02-3
to talk to know the narrator,blogs-02-4
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-5
