"answer","difficulty","qid","sid","text","type"
"Hurricane Gustav","Easy","blogs-03-1","blogs-03","What was Louisiana adversely affected by?","Story"
"the storm","Easy","blogs-03-2","blogs-03","What rolled in on Monday, September 1, in the morning?","Story"
"winds","Easy","blogs-03-3","blogs-03","What started kicking up?","Story"
"President Bush","Easy","blogs-03-4","blogs-03","Who came to Baton Rouge yesterday to assess the damage?","Story"
"in Louisiana | Louisiana","Easy","blogs-03-5","blogs-03","Where was the storm occurring?","Sch"
"a store named Home Depot | Home Depot","Easy","blogs-03-6","blogs-03","Where did the narrator go back to in order to purchase a portable generator?","Sch"
"a large group of pine trees and had a group of oak trees","Easy","blogs-03-7","blogs-03","What did the area of a neighborhood of the narrator have?","Sch"
"because it owned a group of trees and near the house of the narrator","Easy","blogs-03-8","blogs-03","Why did the narrator begin to be nervous?","Sch"
"the house of the parent of the narrator","Easy","blogs-03-9","blogs-03","Where did the narrator bring the family of the narrator to?","Sch"
"the narrator","Medium","blogs-03-10","blogs-03","Who filled the container of some gasoline?","Sch"
"an area of a neighborhood of the narrator","Medium","blogs-03-11","blogs-03","Who had a group of oak trees?","Sch"
"the tree","Medium","blogs-03-12","blogs-03","What fell on the yard of a neighbor?","Sch"
"the narrator","Medium","blogs-03-13","blogs-03","Who watched a large tree?","Sch"
"a RV of the neighbor","Medium","blogs-03-14","blogs-03","What did the first tree fall onto?","Sch"
"my wife, our five children, and our dog","Medium","blogs-03-15","blogs-03","Who stayed in an area of the home where we felt safest?","Story"
"on a branch of a tree","Easy","fables-01-1","fables-01","Where was the crow sitting?","Story"
"a piece of cheese","Easy","fables-01-2","fables-01","What did the crow have in her beak?","Story"
"A Fox and A Crow","Easy","fables-01-3","fables-01","Who is the Story about?","Story"
"snatched","Easy","fables-01-4","fables-01","What did the fox do to the cheese?","Sch"
"under the tree","Easy","fables-01-5","fables-01","Where was the fox standing?","Sch"
"flattered","Easy","fables-01-6","fables-01","What did the crow feel?","Sch"
"The fox","Easy","fables-01-7","fables-01","Who flattered the crow?","Sch"
"sitting on the branch of a tree","Medium","fables-01-8","fables-01","What was the crow doing?","Sch"
"in the beak of the crow","Medium","fables-01-9","fables-01","Where was the cheese?","Sch"
"a Fox","Medium","fables-01-10","fables-01","Who set his wits to work?","Story"
"a Fox","Medium","fables-01-11","fables-01","Who tried to discover how to get the cheese?","Sch"
"the beauty of the bird was incomparable","Medium","fables-01-12","fables-01","What did the fox say about the bird’s beauty?","Sch"
"loudly","Medium","fables-01-13","fables-01","How did the crow caw?","Sch"
"a fat bull","Easy","fables-02-1","fables-02","Who was feeding in a meadow?","Story"
"the bull","Easy","fables-02-2","fables-02","Who was persuaded by this flattery?","Story"
"in a meadow","Easy","fables-02-3","fables-02","Where was the bull?","Sch"
